nome,squadra,ruolo_mantra
PALMISANI,Frosinone,Por
PARISI,Fiorentina,Ds;E
PASALIC,Atalanta,C;T
PATRIC,Lazio,Dd;Dc
PAVARD,Inter,Dd;Dc
PAVLOVIC,Milan,Dc
PAZ N.,Como,T;A
PEDRAZA,Lazio,Ds;E
PELLEGRINI LO.,Roma,C;T
PELLEGRINI LU.,Lazio,Ds;E
PELLEGRINO M.,Fiorentina,Pc
PENEV,Lecce,Por
PEREZ K.,Venezia,C;T
PERRI,Torino,Por
PERRONE,Como,M;C
PESSINA,Monza,M;C
PESSINA MAS.,Bologna,Por
PIANA,Udinese,Por
PICCOLI,Bologna,Pc
PIERAGNOLO,Sassuolo,Ds;E
PIEROTTI,Lecce,W
PINAMONTI,Lazio,Pc
PINSOGLIO,Juventus,Por
PIOTROWSKI,Udinese,M;C
PISILLI,Roma,C
PISSERI,Frosinone,Por
POBEGA,Bologna,M;C
POLITANO,Napoli,W
PONGRACIC,Fiorentina,Dc
POZZI,Venezia,Por
PROVEDEL,Inter,Por
PROVSTGAARD,Lazio,Dc
PRZYBOREK,Lazio,W;T
PUCZKA,Genoa,Ds;E
PULISIC,Milan,T;A
RABIOT,Milan,C;T
RADUNOVIC,Cagliari,Por
RAIMONDO,Frosinone,Pc
RAMON,Como,Dc
RAMOS G.,Milan,Pc
RANIERI L.,Fiorentina,Ds;Dc
RASPADORI,Atalanta,A
RATKOV,Lazio,Pc
RENSCH,Roma,B;Dd;E
RENZETTI,Lazio,Por
RICCI S.,Como,M;C
ROBINSON J.,Monza,A
RODRIGUEZ JE.,Como,W;A
RODRIGUEZ JU.,Cagliari,Ds;Dc
ROMAGNOLI,Lazio,Dc
ROMANO,Cagliari,M;C
ROMERO D.,Parma,Pc
ROVELLA,Lazio,M;C
ROWE,Bologna,W;T
RRAHMANI,Napoli,Dc
RRAHMANI AL.,Venezia,Pc
RUGANI,Juventus,Dc
RUSSO A.,Sassuolo,Por
SABELLI,Genoa,Dd;Ds;E
SAELEMAEKERS,Milan,E;W
SAGRADO,Venezia,Dd;E
SAMARDZIC,Atalanta,C;T
SANTOS A.,Napoli,W;A
SATALINO,Sassuolo,Por
SCALVINI,Atalanta,Dc
SCAMACCA,Atalanta,Pc
SCHINGTIENNE,Venezia,Dc
SCHMID,Frosinone,W;T
SHERRI,Cagliari,Por
SIEBERT,Lecce,Dc
SIMEONE,Torino,Pc
SIVIERO,Torino,Por
SKORUPSKI,Bologna,Por
SMOLCIC I.,Como,Dd;E
SOHM,Venezia,C
SOLET,Udinese,Dc
SOMMARIVA,Genoa,Por
SORENSEN O.,Parma,C
SOULÈ,Roma,A
SOW,Genoa,M;C
SPENCE,Inter,E
SPINAZZOLA,Napoli,Ds;E
SPORTIELLO,Atalanta,Por
STANKOVIC A.,Inter,M;C
STANKOVIC F.,Venezia,Por
STOLZ,Genoa,Por
STONES,Inter,Dc
STRAJNAR,Monza,Por
STULIC,Lecce,Pc
SUCIC P.,Inter,C
SULEMANA I.,Atalanta,M;C
SULEMANA K.,Atalanta,A
SUTALO J.,Lazio,Dc
SVERKO,Venezia,Ds;Dc
SVILAR,Roma,Por
TAVARES N.,Lazio,Ds;E
TAYLOR K.,Lazio,C;T
TCHATO,Frosinone,Dd;E
TERRACCIANO,Milan,Por
TERRACCIANO F.,Milan,B;Dd;Ds
TERZIC,Frosinone,Ds;E
THEATE,Bologna,Ds;Dc
THIAM,Monza,Por
THORSTVEDT,Sassuolo,C;T
THURAM,Inter,Pc
THURAM K.,Juventus,C
TIAGO GABRIEL,Lecce,Dc
TOMORI,Milan,Dc
TORNQVIST,Monza,Por
TORRIANI,Milan,Por
TOURÈ E.,Parma,Pc
TOURÈ I.,Monza,E;M
TRAORÈ HJ.,Genoa,W;T
TREPY,Cagliari,Pc
TROILO,Parma,Dc
TURATI,Sassuolo,Por
UNAI GOMEZ,Udinese,T
VALDEPENAS,Fiorentina,Ds;Dc
VALENTI,Parma,Dc
VALERI,Parma,Ds;E
VALLE,Como,Ds;E
VAN DER BREMPT,Sassuolo,Dd;E
VARELA G.,Monza,Pc
VASQUEZ,Genoa,Ds;Dc
VAZ,Roma,Pc
VEIGA D.,Lecce,Dd;E
VENTURINO,Genoa,W
VERGARA,Napoli,W;T
VICARIO,Juventus,Por
VIERY,Fiorentina,Ds;Dc
VIGORITO,Como,Por
VISMARA,Atalanta,Por
VITIK,Bologna,Dc
VITINHA O.,Genoa,A
VLASIC,Torino,T
VOJVODA,Udinese,Dd;E
VOLPATO,Sassuolo,W;T
WALUKIEWICZ,Sassuolo,Dd;Dc
WESLEY,Roma,E
WINKS,Cagliari,M;C
YEBOAH J.,Venezia,A
YILDIZ,Juventus,A
ZACCAGNI,Lazio,W;A
ZALEWSKI,Atalanta,W
ZAMBO ANGUISSA,Napoli,C
ZANIOLO,Udinese,T;A
ZANOLI,Udinese,Dd;E
ZAPATA D.,Torino,Pc
ZAPPACOSTA,Atalanta,Dd;E
ZARRAGA,Udinese,M;C
ZERBIN,Frosinone,W
ZHEGROVA,Juventus,W
ZIELINSKI,Inter,C
ZIOLKOWSKI,Monza,Dc
ZORTEA,Bologna,Dd;E
ZÈ PEDRO,Cagliari,Dd;Dc
